Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Meizu,15,15,3742MB,Phone,Qualcomm SDM660,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2
LGE,Optimus Vu,325,,Phone,Qualcomm MSM8660,768x1024,320,armeabi-v7a;armeabi,10,2
PCD Argentina,610,610,1862MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Techpad,816,816,981MB,Tablet,Rockchip RK3126C,800x1280,160,armeabi-v7a;armeabi,27,2
Oppo,1100,1100,,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,19,3
Oppo,1107,1107,899MB,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,19,3
Oppo,1201,1201,965MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,19;22,2
Oppo,1206,1206,898MB,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,19,3
Vivo,1601,1601,3823-3872MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23;24,3.0;3.2
Vivo,Y55,1603,1877MB,Phone,Qualcomm MSM8937,720x1280,320,armeabi-v7a;armeabi,23,3.1
Vivo,Y53,1606,1877MB,Phone,Qualcomm MSM8917,540x960,240,armeabi-v7a;armeabi,23,3
Vivo,1609,1609,2851MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3
Vivo,Y55s,1610,2892MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,23,3
Vivo,vivo 1611,1611,3588-3589MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;25,3.1;3.2
Vivo,vivo 1714,1714,2815MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Vivo,vivo 1716,1716,3560-3589MB,Phone,Qualcomm SDM450,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
Vivo,vivo 1718,1718,3560-3586MB,Phone,Qualcomm SDM450,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
Vivo,vivo Y65,1719,2846MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3
Vivo,vivo 1723,1723,3564MB,Phone,Qualcomm MSM8953 Pro,1080x2280,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1724,1724,2838MB,Phone,Qualcomm MSM8917,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3
Vivo,vivo 1725,1725,5713MB,Phone,Qualcomm SDM660,1080x2280,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1726,1726,3754MB,Phone,Mediatek MT6762,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1727,1727,3564MB,Phone,Qualcomm SDM450,1080x2280,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,Y71,1801,1833MB,Phone,Qualcomm MSM8917,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3
Vivo,vivo 1802,1802,3754MB,Phone,Mediatek MT6762,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1803,1803,2813MB,Phone,Mediatek MT6762,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1805,1805,7664MB,Phone,Qualcomm SDM845,1080x2316,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1806,1806,3718MB,Phone,Mediatek MT6771,1080x2280,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1808,1808,2813MB,Phone,Mediatek MT6762,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Oppo,3007,3007,899MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3
Oppo,3008,3008,,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19,3
HP,SlateBook 10 x2 PC,3645,1829-1845MB,Tablet,NVidia Tegra 4,1920x1200,240,armeabi-v7a;armeabi,17;18,2
Coolpad,CP8750,8750,1006MB,Phone,Marvell PXA1088,1080x1920,480,armeabi-v7a;armeabi,17,2
Yezz,5.00E+04,5.00E+04,964MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2
Auchan,Selecline-854599,854599,462MB,Phone,Mediatek MT6572M,480x854,240,armeabi-v7a;armeabi,19,2
How,1001-G,1001-G,1068MB,Tablet,Spreadtrum SC7731C,1024x600,160,armeabi-v7a;armeabi,24,2
Mecer,101P51C,101P51C,953MB,Tablet,Mediatek MT8382,1280x800,160,armeabi-v7a;armeabi,19,2
Mecer,101P51D,101P51D,970MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,22,3
Hipstreet,HS-10DTB12A,10DTB12A,983MB,Tablet,Mediatek MT8127,1024x600,160,armeabi-v7a;armeabi,21,2
Hipstreet,Pilot,10DTB42,974MB,Tablet,Mediatek MT8163,1024x600,120,arm64-v8a;armeabi-v7a;armeabi,22,3
Hipstreet,Phantom2,10DTB44,968MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,23,3
10.or,D,10or_D,2868-2874MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3
Meizu,15 Lite,15Lite,3601MB,Phone,Qualcomm MSM8953 Pro,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Meizu,15 Plus,15Plus,5689MB,Phone,Samsung Exynos 8895,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Future Mobile Technology,Netsurfer STORM,16M4HI105024,937MB,Phone,Mediatek MT6737M,480x800,240,armeabi-v7a;armeabi,23,3
Future Mobile Technology,Netsurfer TYPHOON,16M5HI105023,958MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2
Meizu,16th,16th,5689MB,Phone,Qualcomm SDM845,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Meizu,16th Plus,16thPlus,7693MB,Phone,Qualcomm SDM845,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
